,Unnamed: 0,Name,IP,H,H2,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,birthday,ages,targets,NextGame,DaysRest
51646,23229,jacksed01,5.0,5,5,2,2,4,3,1,2.24,23,99,59,38,7,14,6,10,1,0,48,0.023,0.99,0.8,2009-06-11,1.0,1983-09-09,22.250513347,0.0,2009-06-17,6
79612,89854,nolaaa01,5.0,9,9,6,6,1,8,3,4.11,24,79,58,26,6,26,6,9,6,0,32,-0.427,1.1,-3.7,2015-09-14,1.0,1993-06-04,19.2470910335,0.0,2015-09-20,6
118617,16719,wellsda01,3.2,5,5,2,2,4,2,0,3.92,20,93,57,32,6,19,6,7,4,0,41,-0.063,1.43,-0.6,2002-05-25,1.0,1963-05-20,33.7084188912,0.0,2002-05-31,6
109407,10081,teherju01,6.0,10,10,5,2,1,1,1,2.84,28,84,53,34,2,17,11,15,6,0,38,-0.302,1.22,-2.4,2014-04-11,1.0,1991-01-27,20.0465434634,0.0,2014-04-16,5
26007,18719,dicker.01,7.0,3,3,1,1,1,10,0,3.91,25,104,70,31,15,24,8,6,4,0,76,0.231,0.57,2.4,2014-07-28,1.0,1974-10-29,34.3381245722,0.0,2014-08-02,5
36233,8131,glavito02,6.1,5,5,2,2,2,7,1,2.84,26,106,63,32,10,21,3,14,3,0,60,0.212,0.64,1.1,2002-04-01,1.0,1966-03-25,31.1184120465,0.0,2002-04-06,5
120545,26379,williwo02,7.0,3,3,2,2,0,6,2,2.25,24,82,54,27,11,16,7,11,2,0,69,0.044,0.91,1.4,2002-06-21,1.0,1966-08-19,30.9623545517,0.0,2002-06-26,5
20302,1671,colonba01,6.1,11,11,9,8,0,3,2,5.44,30,90,64,46,1,17,11,16,5,0,20,-0.461,0.89,-4.3,2007-05-28,1.0,1973-05-24,29.3826146475,0.0,2007-06-08,11
31055,65635,fiersmi01,5.0,9,9,6,6,1,1,2,10.8,25,97,67,45,8,14,8,16,6,0,25,-0.43,0.95,-3.7,2013-04-06,1.0,1985-06-15,24.0246406571,0.0,2013-05-25,49
44551,33101,hawkian01,9.0,3,3,0,0,0,5,0,5.68,29,101,66,41,6,19,6,18,4,0,86,0.541,0.86,4.3,1990-07-27,1.0,1960-01-21,26.3627652293,0.0,1990-08-01,5
23630,15609,darwida01,6.0,6,6,5,5,3,3,3,7.44,27,93,53,33,4,16,5,15,4,0,40,-0.156,0.66,-1.5,1995-06-27,1.0,1955-10-25,34.2751540041,0.0,1995-08-05,39
72728,87990,millwke01,6.0,5,5,5,5,2,9,3,4.93,25,100,63,36,7,20,5,9,3,0,49,-0.136,0.78,-1.7,2004-06-28,1.0,1974-12-24,25.4976043806,0.0,2004-07-03,5
25630,39610,desseel01,6.0,3,3,1,1,1,1,1,5.64,22,74,46,31,5,10,11,9,4,0,62,0.086,0.44,2.4,2007-08-26,1.0,1971-01-13,31.6358658453,0.0,2007-09-01,6
36744,4591,gonzaen01,6.2,8,8,3,3,1,2,0,4.99,29,92,59,36,8,15,12,13,6,0,47,0.169,0.88,0.5,2006-07-17,1.0,1982-07-14,20.7419575633,0.0,2006-07-22,5
11752,33885,brownke01,6.2,6,6,3,3,4,0,0,3.93,31,123,65,47,6,12,18,8,4,0,46,-0.015,0.88,0.5,1995-09-08,1.0,1965-03-14,26.3381245722,0.0,1995-09-12,4
67018,121955,marcush01,7.0,6,6,3,3,1,6,1,4.0,26,104,65,28,12,25,10,9,3,0,58,0.019,0.68,0.5,2010-04-21,1.0,1981-12-14,24.4928131417,0.0,2010-04-27,6
116985,108132,watsoal01,6.2,8,8,5,5,2,5,2,3.97,29,107,62,34,15,13,8,14,5,0,41,-0.269,0.91,-1.7,1996-08-11,1.0,1970-11-18,22.2286105407,0.0,1996-08-17,6
53306,98702,johnsra05,7.1,5,5,2,2,2,4,1,3.41,29,126,78,44,13,21,11,12,4,0,62,0.189,0.91,1.0,1990-08-31,1.0,1963-09-10,23.3045859001,0.0,1990-09-05,5
27371,2406,duensbr01,1.1,3,3,5,5,2,0,1,5.34,9,35,19,10,2,7,3,4,1,0,26,-0.329,1.06,-3.7,2011-09-03,1.0,1983-02-22,24.6461327858,0.0,2011-09-24,21
88963,44465,porceri01,6.2,6,6,2,2,3,4,1,3.79,29,106,64,36,5,23,10,12,4,0,55,0.172,0.75,1.3,2011-06-01,1.0,1988-12-27,19.3757700205,0.0,2011-06-07,6
124733,84042,zitoba01,8.0,6,6,3,3,1,4,2,3.29,30,110,74,45,11,18,12,13,4,0,61,-0.009,0.59,1.3,2006-07-07,1.0,1978-05-13,24.3203285421,0.0,2006-07-14,7
33049,101022,frankry01,4.1,12,12,8,8,0,3,1,4.99,24,87,59,44,3,12,4,17,6,0,10,-0.28,0.71,-4.9,2005-08-13,1.0,1973-03-05,28.0273785079,0.0,2005-08-18,5
76585,6462,mulhote01,2.0,6,6,6,4,2,0,1,3.53,15,49,28,23,0,5,9,4,2,0,22,-0.363,0.64,-5.0,1991-06-04,1.0,1963-03-09,24.3969883641,0.0,1991-06-09,5
80054,87193,nomohi01,6.0,4,4,1,1,4,9,0,4.06,27,129,76,36,19,21,8,6,2,0,65,0.208,1.05,2.5,1999-07-06,1.0,1968-08-31,26.6475017112,0.0,1999-07-11,5
45307,116235,helliri01,7.0,7,7,2,2,0,5,0,6.31,28,104,73,49,8,16,10,12,7,0,60,0.25,0.95,2.0,2001-05-29,1.0,1970-12-15,26.3107460643,0.0,2001-06-03,5
51863,53502,jacomja01,7.0,6,6,2,1,1,3,0,6.61,27,105,71,45,10,16,10,13,4,0,61,0.175,0.99,2.0,1995-08-24,1.0,1970-11-24,21.3798767967,0.0,1995-08-29,5
81101,87851,ohkato01,6.0,8,8,2,2,3,5,0,4.43,26,100,70,38,14,18,8,10,6,0,50,0.059,1.02,0.9,2003-07-17,1.0,1976-03-18,23.6112251882,0.0,2003-07-22,5
98033,42085,sagera.01,5.0,3,3,1,1,2,3,0,4.66,19,86,49,33,7,9,10,4,2,0,58,0.182,1.35,2.0,1996-08-03,1.0,1965-03-03,27.1457905544,0.0,1996-08-09,6
107492,6206,suareal01,6.0,6,6,2,2,0,5,1,3.72,24,103,66,42,8,16,12,7,3,0,57,0.127,0.93,1.0,2016-07-03,1.0,1989-10-08,23.0965092402,0.0,2016-08-27,55
5501,36019,bannibr01,6.0,4,4,0,0,2,1,0,0.0,24,94,58,38,2,18,12,9,2,0,63,0.396,1.33,3.1,2009-04-22,1.0,1981-02-28,24.3148528405,0.0,2009-04-27,5
20604,24629,coneda01,9.0,7,7,1,1,0,6,0,3.26,34,110,76,46,15,15,12,15,9,0,75,0.056,0.47,3.3,1991-05-29,1.0,1963-01-02,24.5393566051,0.0,1991-06-04,6
35186,89239,garzama01,7.0,1,1,0,0,1,10,0,2.67,22,103,68,36,11,21,6,5,0,0,84,0.364,0.8,3.4,2012-04-29,1.0,1983-11-26,24.5585215606,0.0,2012-05-11,12
79232,113513,niemaje01,7.0,8,8,3,3,1,6,1,6.32,29,108,67,38,11,18,7,15,7,0,54,-0.056,0.77,0.3,2011-04-16,1.0,1983-02-28,24.3011635866,0.0,2011-04-21,5
6283,47301,beckejo02,2.0,6,6,3,3,0,4,0,3.35,12,42,29,15,7,7,4,5,4,0,36,-0.15,1.16,-1.4,2005-07-05,1.0,1980-05-15,21.7193702943,0.0,2005-07-23,18
49085,55736,hochelu01,6.1,7,7,2,2,0,9,0,5.09,25,97,67,36,13,18,5,11,8,0,60,0.118,1.23,1.0,2009-07-19,1.0,1983-09-15,22.3271731691,0.0,2009-07-25,6
2682,45383,armstja01,7.0,6,6,2,2,1,6,1,3.63,27,117,81,45,17,19,9,11,4,0,62,0.232,1.31,1.3,1993-05-23,1.0,1965-03-07,24.372347707,0.0,1993-05-28,5
34233,81163,garcija02,7.0,5,5,2,2,5,3,1,2.57,26,102,60,37,8,15,10,8,4,0,57,0.029,1.06,1.1,2015-05-21,1.0,1986-07-08,24.9418206708,0.0,2015-05-26,5
10932,71928,botteke01,6.0,4,4,2,1,2,6,0,1.53,25,105,71,44,12,15,6,10,4,0,62,0.068,1.01,1.2,1999-04-30,1.0,1968-11-14,26.3134839151,0.0,1999-05-05,5
31076,10276,fiersmi01,5.0,7,7,2,2,1,5,0,4.63,23,86,53,31,7,15,6,10,3,0,49,-0.024,1.27,0.2,2015-05-23,1.0,1985-06-15,25.8617385352,0.0,2015-05-27,4
52576,51918,jimenub01,6.2,4,4,0,0,4,8,0,4.59,27,110,66,43,9,14,9,6,4,0,70,0.398,1.42,2.9,2012-06-22,1.0,1984-01-22,24.5503080082,0.0,2012-06-27,5
88174,76996,pinedmi01,6.0,8,8,1,1,0,6,1,3.99,25,89,70,39,13,18,5,14,12,0,58,0.22,1.21,1.9,2015-09-24,1.0,1989-01-18,23.0499657769,0.0,2015-09-29,5
64551,112453,lopezro02,5.1,5,5,1,1,5,1,0,3.76,24,99,60,37,4,19,6,12,3,0,50,0.184,1.3,1.7,2004-07-17,1.0,1975-12-14,24.7008898015,0.0,2004-07-22,5
80845,122896,odorija01,5.0,7,7,4,4,3,4,2,3.49,25,111,67,41,9,17,5,13,8,0,38,-0.244,1.05,-1.6,2015-09-25,1.0,1990-03-27,22.0287474333,0.0,2015-10-01,6
66355,119102,magnami01,4.0,7,7,3,1,2,1,0,3.86,21,72,43,32,4,7,9,8,5,0,39,-0.106,1.53,-1.0,1992-04-25,1.0,1965-06-17,23.2005475702,0.0,1992-05-05,10
6399,88787,beckejo02,6.0,11,11,7,6,0,5,1,4.15,29,105,73,40,10,23,12,12,7,0,29,-0.541,1.17,-3.4,2009-06-14,1.0,1980-05-15,25.1252566735,0.0,2009-06-20,6
54002,78488,jonesbo03,5.0,12,12,6,6,1,2,0,3.98,26,88,60,37,2,21,10,13,7,0,20,-0.41,1.36,-3.1,1998-08-05,1.0,1970-02-10,24.6078028747,0.0,1998-08-11,6
16049,64641,capuach01,7.0,8,8,3,3,2,2,1,3.67,32,106,69,36,12,21,7,20,7,0,49,0.07,1.24,0.8,2006-09-18,1.0,1978-08-19,24.2628336756,0.0,2006-09-23,5
87170,46750,persoro01,6.0,5,5,4,4,1,3,1,4.15,23,86,54,30,8,16,4,14,4,0,48,-0.194,0.95,-1.1,2002-04-18,1.0,1969-10-06,28.1067761807,0.0,2002-04-24,6
76923,79437,munrope01,5.0,7,7,4,3,0,2,0,4.21,20,80,49,30,3,16,9,9,4,0,41,-0.228,0.99,-1.5,2004-08-10,1.0,1975-06-14,25.1909650924,0.0,2004-08-15,5
54285,63234,judenje01,5.2,4,4,1,1,4,7,0,3.77,24,111,63,31,14,18,6,7,4,0,60,0.196,1.19,1.8,1998-05-08,1.0,1971-01-19,23.5838466804,0.0,1998-05-13,5
64216,65741,lohseky01,5.0,5,5,3,2,1,2,0,3.23,22,93,53,35,4,14,6,11,5,0,48,-0.115,1.11,-0.7,2013-08-04,1.0,1978-10-04,30.0944558522,0.0,2013-08-09,5
7865,3506,bensokr01,8.1,7,7,1,1,1,4,0,4.2,34,122,83,57,8,18,17,12,2,0,68,0.301,1.02,3.5,1999-09-15,1.0,1974-11-07,21.4729637235,0.0,1999-09-21,6
54706,108446,karlsc01,6.0,6,6,3,3,2,7,0,3.9,25,91,55,26,11,18,5,11,8,0,53,-0.073,0.82,0.1,1998-07-30,1.0,1971-08-09,23.3045859001,0.0,1998-08-04,5
84184,64923,parrama01,5.1,8,8,5,5,4,5,0,3.93,29,96,56,30,9,17,13,7,5,0,33,-0.185,1.04,-1.9,2008-07-30,1.0,1982-10-30,22.2450376454,0.0,2008-08-04,5
104082,57953,smilejo01,7.0,5,5,3,0,0,8,0,3.88,27,93,66,31,20,15,8,11,3,0,69,-0.006,0.99,0.4,1996-09-11,1.0,1965-03-17,27.2032854209,0.0,1996-09-17,6
50478,113478,hugheph01,6.2,6,6,4,4,0,5,2,4.31,25,106,65,40,9,16,8,12,3,0,51,-0.42,0.99,-0.9,2010-09-15,1.0,1986-06-24,20.9308692676,0.0,2010-09-21,6
57297,23949,klubeco01,5.0,6,6,2,2,1,2,1,3.55,21,87,57,37,7,13,5,13,7,0,48,0.037,0.66,0.5,2013-09-12,1.0,1986-04-10,23.6933607118,0.0,2013-09-17,5
109583,25430,telemam01,3.0,6,6,4,4,1,4,1,4.98,16,61,36,15,7,14,3,8,5,0,34,-0.28,1.11,-2.7,1996-07-07,1.0,1974-01-19,19.40862423,0.0,1996-07-14,7
17786,75409,chacosh01,6.1,4,4,1,1,2,3,0,4.56,25,93,54,39,7,8,10,10,4,0,62,0.206,1.01,2.3,2006-04-27,1.0,1977-12-23,24.4873374401,0.0,2006-05-06,9
68016,118511,martini01,3.1,9,9,7,7,2,5,1,2.89,22,89,56,31,6,19,3,11,7,0,17,-0.381,0.77,-5.9,2015-06-03,1.0,1990-08-05,21.4483230664,0.0,2015-06-09,6
89673,18968,priceda01,7.0,8,8,6,6,1,3,1,6.14,30,100,71,44,13,14,15,10,6,0,39,-0.339,1.22,-2.6,2016-05-01,1.0,1985-08-26,26.5051334702,0.0,2016-05-07,6
88603,6172,pomerdr01,5.0,5,5,6,6,4,9,1,2.48,25,97,61,29,13,19,9,3,1,0,38,-0.384,0.62,-3.5,2016-05-29,1.0,1988-11-22,23.7727583847,0.0,2016-06-03,5
4713,32180,baileho02,4.0,12,12,9,9,2,2,0,4.68,24,74,51,32,5,14,8,12,9,0,2,-0.594,1.23,-7.7,2011-07-28,1.0,1986-05-03,21.8015058179,0.0,2011-08-02,5
1860,50080,ankieri01,3.0,3,3,5,3,5,2,0,6.23,20,75,40,20,4,16,3,8,3,0,34,-0.225,1.44,-2.3,2001-04-20,1.0,1979-07-19,18.7953456537,0.0,2001-04-26,6
50513,85022,hugheph01,7.2,4,4,2,2,2,6,2,4.09,28,117,79,43,15,21,8,12,2,0,67,0.036,1.05,1.5,2012-07-21,1.0,1986-06-24,22.5270362765,0.0,2012-07-27,6
114012,36159,verlaju01,7.0,7,7,2,2,2,11,0,3.41,29,126,80,39,15,26,4,12,5,0,64,0.188,1.32,1.6,2009-09-24,1.0,1983-02-20,22.9760438056,0.0,2009-09-29,5
87197,94491,peterad01,6.0,6,6,5,3,3,5,3,3.8,28,92,55,32,9,14,7,13,4,0,46,-0.38,1.18,-3.2,1991-05-28,1.0,1965-12-11,21.9958932238,0.0,1991-06-02,5
21572,5615,corbipa01,8.0,8,8,2,2,1,5,0,4.02,32,93,64,45,6,13,12,13,5,0,62,0.02,0.76,1.9,2012-09-16,1.0,1989-07-19,20.0109514031,0.0,2012-09-22,6
87919,89416,pettijo02,6.1,5,5,1,1,0,3,1,3.24,24,94,61,43,5,13,13,8,2,0,62,0.191,0.87,1.6,2013-05-03,1.0,1990-07-19,19.6878850103,0.0,2013-05-08,5
92987,8421,reynosh01,5.2,5,5,6,6,3,4,1,5.36,24,97,54,30,4,20,7,10,2,0,36,-0.311,0.77,-3.1,2003-08-26,1.0,1968-03-26,30.598220397,0.0,2003-08-31,5
95251,116173,rogerke01,7.0,7,7,3,3,1,6,0,4.61,29,98,61,33,10,18,8,13,7,0,56,0.101,0.81,0.9,2000-09-12,1.0,1964-11-10,30.9623545517,0.0,2000-09-17,5
32000,11520,flenehu01,6.0,2,2,3,2,0,5,2,3.0,21,77,49,21,13,15,8,8,1,0,63,0.102,0.8,0.6,1996-07-15,1.0,1969-02-25,23.6577686516,0.0,1996-07-20,5
76643,86216,mulhote01,6.0,7,7,2,2,2,4,1,1.86,27,104,62,40,9,13,10,11,3,0,52,0.038,1.17,1.0,1993-04-22,1.0,1963-03-09,26.0232717317,0.0,1993-04-27,5
108127,84531,swarzan01,7.0,4,4,2,2,3,4,0,4.15,25,107,62,34,5,23,8,10,2,0,62,0.229,1.1,1.7,2009-07-21,1.0,1985-09-10,20.6132785763,0.0,2009-07-26,5
110885,30168,tomkobr01,8.2,4,4,0,0,1,8,0,5.86,32,100,70,36,12,22,5,18,4,0,83,0.478,0.9,4.7,1999-05-16,1.0,1973-04-07,22.5544147844,0.0,1999-05-21,5
123174,34266,wrighja02,7.0,7,7,4,4,3,5,1,6.03,29,110,70,37,11,22,12,9,5,0,49,-0.061,1.06,0.1,1998-05-05,1.0,1975-12-29,19.3073237509,0.0,1998-05-10,5
93051,62613,rhodear01,6.1,6,6,4,4,5,1,0,5.88,28,107,50,34,3,13,9,13,7,0,41,-0.174,1.19,-1.6,1993-09-19,1.0,1969-10-24,20.6516084873,0.0,1993-09-26,7
115360,90812,wagnepa01,6.0,5,5,4,4,3,6,1,6.4,25,91,55,34,12,9,8,8,3,0,49,-0.173,0.71,-0.9,1995-06-14,1.0,1967-11-14,23.8275154004,0.0,1995-06-18,4
94204,23103,roberna01,5.0,9,9,4,4,3,3,1,6.11,24,101,60,37,5,18,10,8,7,0,33,-0.041,1.1,-1.2,2008-08-05,1.0,1977-09-03,26.7159479808,0.0,2008-08-10,5
5411,25148,bankswi01,8.0,3,3,1,1,1,8,1,4.18,27,104,65,31,18,16,8,10,2,0,79,0.329,1.11,3.1,1994-06-27,1.0,1969-02-27,21.8809034908,0.0,1994-07-02,5
60094,94651,leffecr01,6.0,5,5,4,2,0,1,0,4.25,24,66,48,38,2,8,8,15,4,0,51,-0.201,0.92,-1.4,1992-05-20,1.0,1957-09-29,29.9274469541,0.0,1992-05-25,5
26225,41591,doherjo02,5.2,7,7,4,4,0,2,1,2.82,23,64,42,30,4,8,8,13,8,0,41,-0.085,1.07,-0.1,1993-05-09,1.0,1967-06-11,22.3846680356,0.0,1993-05-14,5
6351,13311,beckejo02,8.2,8,8,2,2,0,8,0,3.24,32,115,81,45,10,26,9,15,6,0,68,0.325,0.58,2.7,2007-08-11,1.0,1980-05-15,23.5318275154,0.0,2007-08-17,6
8694,85869,bielemi01,6.0,6,6,1,1,1,4,0,4.93,24,82,49,31,7,11,8,11,6,0,59,0.23,1.1,1.8,1990-10-02,1.0,1959-07-31,26.932238193,0.0,1991-04-13,193
42871,31496,haranaa01,5.2,6,6,3,2,3,5,0,3.88,27,122,73,45,10,18,8,11,5,0,49,0.004,1.01,-0.1,2007-06-16,1.0,1978-05-09,25.144421629,0.0,2007-06-22,6
38678,118052,griffaj01,6.0,2,2,0,0,2,4,0,1.5,22,109,67,43,3,21,10,6,1,0,70,0.374,1.08,3.2,2012-06-29,1.0,1988-01-28,21.0978781656,0.0,2012-07-04,5
23407,82180,darliro01,7.0,6,6,2,2,3,1,1,4.24,29,112,60,42,9,9,12,13,2,0,55,0.113,1.01,1.7,1994-08-06,1.0,1960-08-19,29.3415468857,0.0,1994-08-11,5
71143,121660,mechegi01,6.0,5,5,2,2,2,5,0,5.35,25,115,69,40,9,20,8,10,1,0,57,0.041,0.96,1.1,2008-05-25,1.0,1978-09-08,25.6700889802,0.0,2008-05-30,5
111016,105221,tomkobr01,6.1,8,8,2,2,2,3,1,5.7,29,104,67,41,7,19,13,11,4,0,50,-0.032,0.98,0.2,2005-04-23,1.0,1973-04-07,27.6851471595,0.0,2005-04-29,6
94541,18856,rodried05,5.0,6,6,1,1,2,8,0,3.69,23,101,65,34,13,18,5,8,4,0,57,0.162,1.29,1.6,2015-07-05,1.0,1993-04-07,19.2169746749,0.0,2015-07-11,6
22852,71567,daalom01,3.2,8,8,4,4,1,4,1,4.0,19,69,44,22,9,13,8,6,4,0,32,-0.213,0.84,-2.3,1996-09-15,1.0,1972-03-01,21.2019164956,0.0,1996-09-21,6
38849,74465,grimsja01,5.0,3,3,3,3,1,3,1,2.45,20,60,37,25,4,8,7,8,2,0,51,-0.028,0.8,-0.0,2000-05-27,1.0,1967-08-07,28.3422313484,0.0,2000-06-06,10
89764,26384,priorma01,6.2,4,4,2,2,2,5,0,3.79,26,100,66,38,13,15,10,9,5,0,61,-0.008,1.26,0.8,2002-06-24,1.0,1980-09-07,18.8281998631,0.0,2002-06-29,5
114657,106469,vogelry01,3.1,9,9,6,6,2,7,1,3.29,20,81,50,26,4,20,2,9,4,0,23,-0.462,1.4,-4.5,2012-09-04,1.0,1977-07-22,30.3436002738,0.0,2012-09-10,6
32488,4060,foppeje01,6.0,8,8,2,2,2,7,1,4.86,27,96,62,38,11,13,6,12,4,0,53,0.184,1.48,1.7,2003-05-19,1.0,1980-07-10,19.7453798768,0.0,2003-05-25,6
48231,99268,hibbagr01,6.0,7,7,4,4,0,1,0,5.85,26,83,50,35,4,11,15,10,6,0,43,-0.059,0.9,-0.5,1994-06-07,1.0,1964-09-13,25.6865160849,0.0,1994-06-13,6
40282,120235,hallaro01,6.0,3,3,0,0,6,2,0,3.89,27,115,62,36,9,17,12,7,1,0,62,0.385,1.36,3.5,1999-06-24,1.0,1977-05-14,19.1019849418,0.0,1999-08-13,50
55273,111371,kazmisc01,5.0,6,6,3,3,0,3,1,4.35,21,96,63,43,8,12,6,12,4,0,46,0.018,0.32,-0.6,2016-07-24,1.0,1984-01-24,28.076659822,0.0,2016-07-30,6
96320,71111,rueteki01,5.1,10,10,4,3,0,2,0,1.84,25,74,52,29,2,21,16,7,3,0,36,-0.382,1.22,-2.5,1993-08-01,1.0,1970-12-01,19.5838466804,0.0,1993-08-06,5
36480,74896,glovega01,5.0,4,4,4,4,1,4,3,5.25,20,70,42,24,4,14,0,15,4,0,46,-0.146,0.82,-1.3,2002-09-15,1.0,1976-12-03,22.2751540041,0.0,2004-09-06,722
77987,33502,nagych01,8.0,6,6,2,2,2,7,0,2.96,31,115,75,38,9,28,11,11,5,0,67,0.273,1.2,2.8,1992-10-04,1.0,1967-05-05,21.9603011636,0.0,1993-04-05,183
103919,70720,smilejo01,5.2,9,9,3,3,1,4,0,1.59,26,83,59,38,6,15,8,13,5,0,42,0.055,1.11,0.3,1991-04-23,1.0,1965-03-17,22.5489390828,0.0,1991-04-28,5
104725,6629,smoltjo01,3.0,6,6,4,4,2,1,1,3.61,18,69,41,32,4,5,5,10,6,0,30,-0.269,0.77,-2.6,1992-06-03,1.0,1967-05-15,21.6454483231,0.0,1992-06-07,4
118530,120185,wellsda01,8.0,9,9,4,4,2,6,1,5.74,34,122,79,47,10,22,12,14,4,0,52,-0.017,0.85,0.7,1999-05-14,1.0,1963-05-20,31.0882956879,0.0,1999-05-19,5
26448,14337,doubrfe01,5.1,6,6,3,3,1,4,0,5.06,22,76,51,31,7,13,7,10,5,0,47,0.072,1.16,0.4,2014-04-03,1.0,1987-10-23,22.8473648186,0.0,2014-04-08,5
79746,48143,nolasri01,5.0,10,10,7,7,1,6,1,4.57,26,94,65,36,15,14,12,7,5,0,24,-0.332,0.53,-4.5,2010-08-06,1.0,1982-12-13,23.8850102669,0.0,2010-08-12,6
2724,45408,arochre01,5.1,6,6,3,2,2,2,0,3.07,24,93,61,34,7,20,12,8,2,0,46,-0.126,1.31,-0.8,1993-06-23,1.0,1964-02-24,25.3388090349,0.0,1993-06-29,6
60194,48504,leibrch01,4.0,7,7,3,3,3,1,0,3.11,20,-1,-1,-1,-1,-1,3,13,9,0,34,-0.161,1.1,-1.2,1990-09-29,1.0,1956-10-04,29.3607118412,0.0,1990-10-03,4
60343,119595,leiteal01,6.0,7,7,3,3,2,4,1,4.08,26,101,59,42,6,11,9,11,4,0,48,-0.014,1.01,0.4,1995-07-22,1.0,1965-10-23,25.697467488,0.0,1995-07-28,6
123294,75411,wrighja02,5.0,6,6,4,4,4,0,1,7.2,21,84,44,28,0,16,9,8,1,0,35,-0.032,0.81,-0.2,2006-04-28,1.0,1975-12-29,26.2039698836,0.0,2006-05-03,5
66905,31874,malonma02,6.0,8,8,5,5,2,5,2,6.46,26,96,60,31,6,23,8,11,2,0,39,-0.229,0.92,-2.0,2009-08-29,1.0,1984-01-16,22.1327857632,0.0,2009-09-08,10
30172,99854,fasseje01,6.2,7,7,5,4,5,7,0,4.04,33,116,65,35,8,22,8,12,4,0,44,0.122,0.83,-1.3,1998-07-09,1.0,1963-01-05,30.6776180698,0.0,1998-07-14,5
68091,71441,martipe02,8.0,6,6,3,1,1,8,0,3.94,30,110,76,41,12,23,13,8,4,0,69,0.238,0.7,1.3,1996-04-25,1.0,1971-10-25,21.1663244353,0.0,1996-05-01,6
19075,118918,clemero02,8.0,6,6,1,1,0,6,0,1.13,30,104,74,39,18,17,13,11,4,0,72,0.201,0.71,3.2,1991-04-08,1.0,1962-08-04,24.7748117728,0.0,1991-04-13,5
87183,20216,peterad01,6.0,3,3,1,1,3,1,0,1.5,24,92,52,33,2,17,5,15,2,0,60,0.165,1.05,1.5,1990-06-07,1.0,1965-12-11,21.1553730322,0.0,1990-06-12,5
105484,113107,sonnaan01,7.0,5,5,0,0,1,2,0,4.31,26,85,59,40,4,15,9,14,3,0,68,0.42,0.98,3.8,2008-07-05,1.0,1983-03-18,21.8590006845,0.0,2008-07-10,5
3214,5028,arroybr01,7.0,10,10,5,5,0,5,3,7.02,32,123,81,42,8,31,10,16,4,0,42,-0.022,0.69,-1.3,2009-05-11,1.0,1977-02-24,27.8275154004,0.0,2009-05-17,6
111849,79456,trachst01,6.2,8,8,6,6,0,4,0,3.96,28,99,67,46,8,13,11,13,1,0,38,-0.142,0.76,-1.8,2004-08-26,1.0,1970-10-31,29.2183436003,0.0,2004-08-31,5
81118,79349,ohkato01,4.0,6,6,4,3,1,3,2,5.93,20,65,46,28,8,10,5,11,0,0,38,-0.199,0.79,-2.0,2004-04-19,1.0,1976-03-18,24.2655715264,0.0,2004-04-24,5
111535,25182,trachst01,6.0,5,5,4,1,5,4,1,3.33,29,105,60,39,7,14,8,12,3,0,51,-0.165,0.84,-0.9,1994-08-04,1.0,1970-10-31,20.5256673511,0.0,1994-08-09,5
496,91815,adamste01,8.0,5,5,1,1,2,7,0,4.68,29,116,74,41,14,19,11,9,2,0,73,0.355,0.94,3.3,2001-07-17,1.0,1973-03-06,24.5065023956,0.0,2001-07-22,5
108000,62519,sutclri01,6.0,10,10,3,3,1,3,1,4.7,28,93,55,32,4,19,14,10,5,0,42,-0.072,0.93,0.1,1993-06-14,1.0,1956-06-21,31.9507186858,0.0,1993-06-23,9
96305,23419,rowlary01,5.0,11,11,11,11,2,1,3,6.96,27,82,50,34,2,14,7,17,3,0,0,-0.389,0.44,-8.4,2010-07-27,1.0,1983-01-26,23.7590691307,0.0,2010-10-03,68
19422,74775,clemero02,6.2,3,3,1,1,2,8,0,3.77,25,109,70,35,11,24,8,7,1,0,70,0.227,0.94,2.3,2002-05-14,1.0,1962-08-04,34.3655030801,0.0,2002-05-19,5
24145,39939,davisdo02,6.0,7,7,3,3,0,4,1,3.81,25,96,62,39,7,16,12,9,5,0,50,-0.024,0.76,0.3,2009-09-05,1.0,1975-09-21,29.3388090349,0.0,2009-09-11,6
108163,57235,swiftbi02,7.2,7,7,1,1,2,2,0,1.17,29,116,71,42,8,21,17,8,5,0,61,0.231,0.61,2.0,1992-04-06,1.0,1961-10-27,26.2997946612,0.0,1992-04-11,5
92761,86605,reynosh01,6.0,10,10,4,4,1,6,0,3.2,28,104,63,35,8,20,16,5,4,0,41,-0.303,1.55,-1.6,1995-09-09,1.0,1968-03-26,23.7207392197,0.0,1995-09-14,5
20454,6016,colonba01,7.0,5,5,2,2,1,7,1,4.52,26,93,64,37,5,22,11,7,4,0,65,-0.018,1.11,1.4,2015-06-06,1.0,1973-05-24,36.3148528405,0.0,2015-06-12,6
8502,13658,berkeja01,5.1,8,8,1,1,2,3,1,6.07,25,86,54,35,3,16,8,12,5,0,49,0.158,1.17,1.6,2009-09-02,1.0,1983-11-27,22.2614647502,0.0,2009-09-09,7
7589,108045,benesan01,6.1,9,9,6,6,1,5,1,4.62,29,109,67,40,9,18,9,14,4,0,35,-0.297,0.45,-3.1,1996-04-26,1.0,1967-08-20,24.7830253251,0.0,1996-05-01,5
